Barrier ID,Site Name,Structure Type,Assessment Step Completed,Next Steps,Notes,Supporting Links
1006800524,Trib to Horsefly R @ Unnamed (6800524),TBD,Unassessed,Engage with barrier owner,Could not access site due to landowner fees. Not clear on status of crossing. Riversheds working on barrier owner outreach,
1006800552,Trib to Horsefly R @ Unnamed (6800552),TBD,Unassessed,Engage with barrier owner,"Only access to site is via adjacent landowner, who charges fee for access. Riversheds working on landowner engagement.",
1006801247,Woodjam Cr @ Private (6801247),TBD,Unassessed,Engage with barrier owner,Landowner access not granted without hefty fee. Riversheds working on landowner outreach. Status of crossing remains TBD,
123916,,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,No modeled salmon habitat but high quality habitat noted in 2016. Industry barrier. Was a culvert in 2016. Check with barrier owner whether crossing was removed. Road apparently deactivated but culvert left behind,
124269,Trib to Horsefly R @ Unnamed (124269),Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Crossing is due for reassessment. Landowner access not granted. Asking for a fee for access. Riversheds working on landowner engagement,
124271,MacLean Cr @ Private (124271),Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Last assessed 2017. Can't access. Brian checking with local consultant on status of crossing. Bring in regulator if no resolution,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=681 
126438,Trib to Horsefly R @ Private (126438),Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Can't access site (landowner refusal). Brian checking with local consultant if he knows anything about the crossing. Bring to regulator if no resolution.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1882 
199424,Bassett Cr @ Unnamed (199424),Other,Barrier assessment,Engage with barrier owner,Located 100 m downstream of 57596. Barrier LWD jam caused by collapsed woodbox culvert,
57430,Gifford Cr @ Hendrix-McKinley FSR (57430),Stream crossing - CBS,Habitat confirmation,In-depth passage assessment (data deficient structures only),"High quality habitat with suitable Coho spawning identified by DWB and confirmed by DFO. Coho present downstream, some steep sections to falls, salmonids throughout to falls",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=703 
57596,Bassett Cr @ R14189-4C Rd (57596),Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Debris jam from collapsed bridge causing barrier. Salmon values/use in stream unknown but habitat quality is high.,
