Barrier ID,Site Name,Watershed Name,Structure Type,Assessment Step Completed,Next Steps,Reason,Notes,Supporting Links
123937,Molybdenite Cr @ unnamed (123937),HORS,Other,Barrier assessment,Engage with barrier owner,Collapsed woodbox culvert creating barrier. Industry barrier from improperly deactivated road,,
123938,Molybdenite Cr @ Unnamed,HORS,Other,Barrier assessment,Engage with barrier owner,"Industry crossing. Collapsed woodbox culvert creating partial barrier in side channel, with potential for main channel to become blocked over time. ",,
124150,Trib to Deerhorn Cr @ unnamed (124150),HORS,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,"Undersized culvert, fish present",Landowner says fish present,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=124330 
124249,Wawn Lk Cr @ Millar Rd (124249),HORS,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Currently backwatered by impassable beaver dam. Undersized,Deferred until Vedder and Wilmot complete,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1882 
124256,Harpers Cr @ Horsefly Rd (124256),HORS,Stream crossing - CBS,Habitat confirmation,Commission engineering designs,Decent rearing habitat in Harpers Lake,Designs on hold while Vedder and Wilmot addressed,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1883 
124268,Vedder Cr @ Horsefly-Quesnel FSR (124268),HORS,Stream crossing - CBS,Barrier assessment,Commission engineering designs,Salmonid juveniles observed indicating high quality habitat,Designs in progress,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=124448 
124272,Trib to Woodjam Cr @ Unnamed (124272),HORS,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,"Undersized culvert, fish present",abundant fish downstream during 2017 assessment. May be passable to adults,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197823 
126471,Trib to Woodjam Cr @ Unnamed (126471),HORS,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Potentially easy fix,"Cattle trail, may be able to decommission or replace with small 3 m bridge. Discuss with barrier owner. Short habitat gain, parr able to pass at some flows, dewatering/ stranding potential.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=685 
197762,Divan Cr @ spur (197762/198873),HORS,Stream crossing - Ford,Barrier assessment,Engage with barrier owner,Industry barrier,No permitted roads to site. Talk to Tolko about potential hand removal,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198782 
197765,Vedder Cr @ Private (197765/198876),HORS,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,"Easy fix, high quality habitat","Small flexi culvert, likely could be removed by hand",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200136 
198300,Molybdenite Cr @ unnamed (198300),HORS,Stream crossing - Ford,Barrier assessment,Engage with barrier owner,Industry barrier,Remove debris from collapsed bridge from stream channel. Currently a barrier at low flows,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199520 
199419,Trib to Molybdenite Cr @ KcKinley Tr (199419/24738332),HORS,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,. Industry barrier.,Medium quality habitat. No confirmed anadromous presence but Rainbow Trout confirmed at 57198 immediately downstream,
57158,Trib to McKinley Cr @ R02156-887 (57158),HORS,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Industry barrier,Short habitat gain (wetland upstream). Poorly defined channel beyond wetland.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197835 
57484,Trib to Tisdall Lk @ Black Cr FSR (57484),HORS,Stream crossing - CBS,,Engage with barrier owner, Industry barrier,Confirmed RB presence. Salmon values unknown.,
57507,Wilmot Cr @ Horsefly Rd (57507),HORS,Stream crossing - CBS,Detailed habitat investigation,Commission engineering designs,"High potential for use by salmon, direct connection to Horsefly mainstem ",Designs in progress,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197825 
57556,Sucker Cr @ Black Cr FSR (57556),HORS,Stream crossing - CBS,Habitat confirmation,Engage with barrier owner,Culvert passes fish but is not fully backwatered. Higher density of juveniles downstream ,"May just need to adjust backwater, consider replacement at end of life. Work with barrier owner to determine timeline for rehabilitation",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1885 
,,,,,,,,
