Barrier ID,Site Name,Structure Type,Assessment Step Completed,Reason for Exclusion,Notes,Supporting Links
1006800220,,Other,Barrier assessment,No key upstream habitat,"No defined stream channel, no water",
1006800298,,None,Barrier assessment,No structure,Crossing does not exist,
1006800484,,None,Barrier assessment,No structure,Crossing does not exist,
1006800520,,None,Other,No structure,Access permission not granted. Landowners confirmed bridge/barrier no longer present,
1006801130,,None,Barrier assessment,No structure,Crossing does not exist,
1006801250,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,No defined stream channel at 57387 downstream. Connectivity for salmon expected to be non-existent naturally.,
1006801356,,None,Barrier assessment,No structure,Crossing does not exist,
1200000002,,Stream crossing - OBS,Barrier assessment,No structure,Structure does not exist. ,
124151,,Stream crossing - CBS,Barrier assessment,Passable,,
124152,Trib to Deerhord @ Deerhorn Rd,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Dry at time of assessment,
124253,Trib to Little Horsefly R @ Private (124253),Stream crossing - CBS,Habitat confirmation,No key upstream habitat,"Poor quality habitat with no spawning, rearing or overwintering potential.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200774
124267,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,No defined channel directly upstream or downstream of crossing. No fish habitat present,
124275,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,,
124276,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No habitat present, seasonal stream",
125961,,Stream crossing - Ford,Barrier assessment,No structure and key upstream habitat,No crossing or defined channel. Vegetation in channel indicates rare flow conditions.,
17e18f43-e699-4e2c-ae73-e3f3e48de11f,,None,Barrier assessment,No structure,Dam confirmed to not exist (formerly structure 1100000243),
197761,197761,Stream crossing - Ford,Barrier assessment,Passable,"Cattle trail/ford, location likely refers to historic crossing that has been decommissioned and abandoned at edge of channel",
197763,197763,Stream crossing - Ford,Barrier assessment,Passable,"Location is a cattle trail/ford, not a barrier to fish",
197764,198875,Stream crossing - OBS,Habitat confirmation,Passable,"Road carried by a 2200 mm diameter OBS arch culvert that is 12 m long, does not represent a barrier to fish passage",
198160,,Stream crossing - OBS,Barrier assessment,Passable,Open bottom arch culvert,
198871,197760,Stream crossing - OBS,Barrier assessment,Passable,"Pedestrian bridge across creek, not a barrier to fish passage",
199417,6800223,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No defined stream channel, no water. ",
199420,6802406,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"Dry at time of assessment with no indication of sufficient flows during frheshet. High up in watershed, unlikely to support anadromous species.",https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200765
199423,Alah Cr @ Private (199423),Stream crossing - CBS,Barrier assessment,No key upstream habitat,Dry with minimal channel formation.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200768
199425,6800300,Stream crossing - OBS,Barrier assessment,Passable,Old ATV bridge. Not currently a barrier but has potential to block flows as it decays and falls into stream. Other collapsed bridges nearby are not blocking flows.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200770
199426,6802355,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No water at crossing, undefined channel banks, appears to rarely have flow. No fish habitat present.",
199427,6800151,None,Barrier assessment,No structure,Crossing deactivated. Natural log jam present but not blocking flows.,
199428,6800651,None,Barrier assessment,No structure and key upstream habitat,No crossing or defined channel. Road deactivated.,
40fc35b1-a834-4821-9c09-e8c64a646252,,None,Barrier assessment,No structure,Dam confirmed to not exist (formerly structure 1100000763),
57292,,Stream crossing - CBS,Habitat confirmation,No key upstream habitat,Impassable natural barrier downstream,
57317,,Stream crossing - CBS,Habitat confirmation,No key upstream habitat,"No suitable habitat: small defined channel but no water = poor spawning, rearing, overwintering potential. No modeled key habitat upstream.",
57375,,Stream crossing - OBS,Barrier assessment,Passable,Overgrown woodbox culvert. No issues but may collapse over time.,
57387,Trib to Deerhorn Cr @ Deerhorn FSR (57387),Stream crossing - CBS,Barrier assessment,No key upstream habitat,Stream channel downstream undefined. Appears to convey water only during highw ater events from ephemeral wetland. No water or fish habitat present,
57479,,Stream crossing - OBS,Barrier assessment,Passable,Bridge in good condition.,
57495,,Stream crossing - OBS,Barrier assessment,Passable,Open bottom arch culvert. Appears undersized. Reassess for functionality in 5 years.,
57562,,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No defined stream channel downstream, ephermeral wetland with no defined water body upstream.",
773d7d7c-11b7-4c8c-b761-ff1d4d60818a,,None,Barrier assessment,No structure,Dam confirmed to not exist (formerly structure 1100000814),
a423c60a-dfb1-4414-bba3-bd57c89c6357,,Dam,Barrier assessment,Passable,"Dam appears to be off channel with water flowing around the dam, no fish passage issues (formerly structure 1100001822)",
