Barrier ID,Site Name,Structure Status,Structure Rank,Average Habitat Upastream of Structure (km),Actual Habitat Upstream of Structure (km)
57556,Sucker Cr @ Black Cr FSR (57556),Priority barrier,1,3.38,3.38
126594,Niquidet Cr @ R17330-730 FSR (126594),Rehabilitated barrier,2,2.025,0.35
126602,Niquidet Cr @ Private (126602),Non-actionable barrier,2,2.025,3.7
57507,Wilmot Cr @ Horsefly Rd (57507),Priority barrier,3,2.93,2.93
126511,Trib to Horsefly R @ unnamed (126511),Rehabilitated barrier,4,2.66,2.66
124150,Trib to Deerhorn Cr @ unnamed (124150),Priority barrier,5,1.85,1.85
197762,Divan Cr @ spur (197762/198873),Priority barrier,6,1.44,1.44
124272,Trib to Woodjam Cr @ Unnamed (124272),Priority barrier,7,1.15,1.15
199424,Bassett Cr @ Unnamed (199424),Data-deficient barrier,8,0.8,0.1
57596,Bassett Cr @ R14189-4C Rd (57596),Data-deficient barrier,8,0.8,1.5
126438,Trib to Horsefly R @ Private (126438),Data-deficient barrier,9,0.85,0.85
57168,Boscar Lk Cr @ Black Cr-Cruiser Lk FSR (57168),Rehabilitated barrier,10,0.565,1.05
57298,Trib to Bosk Lk @ Black Cr-Cruiser Lk FSR (57298),Rehabilitated barrier,10,0.565,0.08
124249,Wawn Lk Cr @ Millar Rd (124249),Priority barrier,11,0.7,0.7
124256,Harpers Cr @ Horsefly Rd (124256),Priority barrier,12,0.68,0.68
126603,Alah Cr @ Little Horsefly Rd (126603),Non-actionable barrier,13,0.313333333,0.86
199421,Alah Cr @ Private (199421),Non-actionable barrier,13,0.313333333,0.01
199422,Alah Cr @ Private (199422),Non-actionable barrier,13,0.313333333,0.07
123937,Molybdenite Cr @ unnamed (123937),Priority barrier,14,0.435,0.74
198300,Molybdenite Cr @ unnamed (198300),Priority barrier,14,0.435,0.13
124268,Vedder Cr @ Horsefly-Quesnel FSR (124268),Priority barrier,15,0.435,0
197765,Vedder Cr @ Private (197765/198876),Priority barrier,15,0.435,0.87
126510,Trib to Horsefly R @ unnamed (126510),Non-actionable barrier,16,0.45,0.45
1006800524,Trib to Horsefly R @ Unnamed (6800524),Data-deficient barrier,17,0.28,0.28
199419,Trib to Molybdenite Cr @ KcKinley Tr (199419/24738332),Priority barrier,18,0.18,0.32
57158,Trib to McKinley Cr @ R02156-887 (57158),Priority barrier,18,0.18,0.04
124269,Trib to Horsefly R @ Unnamed (124269),Data-deficient barrier,19,0.24,0.24
197701,Trib to McKinley Cr @ unnamed (197701),Non-actionable barrier,20,0.18,0.18
