Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Partial Passability,Structure Owner,Num Barriers Set,Total Hab Gain Set,Upstream Habitat Quality,Estimated Cost $,Next Steps,Reason,Notes,Supporting Links
57556,6800076.0,Sucker Creek,Black Creek FSR,Stream crossing - CBS,Yes,MOTI,1.0,5.07,Medium,20000.0,Engage with barrier owner,Culvert passes fish but is not fully backwatered. Higher density of juveniles downstream ,"May just need to adjust backwater, consider replacement at end of life. Work with barrier owner to determine timeline for rehabilitation",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1885 
57507,6800089.0,Wilmot Creek,MOTI,Stream crossing - CBS,No,MOTI,1.0,2.93,Medium,400000.0,Commission engineering designs,"High potential for use by salmon, direct connection to Horsefly mainstem ",Designs in progress,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197825 
124150,6800503.0,Trib to Deerhorn,unnamed,Stream crossing - CBS,Unknown,Private,1.0,1.89,High,150000.0,Engage with barrier owner,"Undersized culvert, fish present",Landowner says fish present,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=124330 
197762,6800487.0,Divan Creek,unnamed,Stream crossing - Ford,No,Forest tenure,1.0,1.44,Low,2000.0,Engage with barrier owner,Industry barrier,No permitted roads to site. Talk to Tolko about potential hand removal,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198782 
124272,,Trib to Woodjam Creek,Unnamed,Stream crossing - CBS,Yes,Private ,1.0,1.15,High,150000.0,Engage with barrier owner,"Undersized culvert, fish present",abundant fish downstream during 2017 assessment. May be passable to adults,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197823 
198300,6800483.0,Molybdenite Creek,West Fraser/Tolko,Stream crossing - Ford,Unknown,Forest tenure,1.0,0.8800000000000001,High,10000.0,Engage with barrier owner,Industry barrier,Remove debris from collapsed bridge from stream channel. Currently a barrier at low flows,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199520 
124268,6800048.0,Vedder Creek,Horsefly-Quesnel Lake Road,Stream crossing - CBS,Yes,MOTI,2.0,0.8699999999999999,High,400000.0,Commission engineering designs,Salmonid juveniles observed indicating high quality habitat,Designs in progress,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=124448 
198876,,Vedder Creek,Private,Stream crossing - CBS,Yes,Private ,2.0,0.8699999999999999,High,2000.0,Engage with barrier owner,"Easy fix, high quality habitat","Small flexi culvert, likely could be removed by hand",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200136 
124249,6800023.0,Wawn Lake Creek,Millar Road,Stream crossing - CBS,Unknown,MOTI,1.0,0.7,Medium,400000.0,Engage with barrier owner,Deferred until Vedder and Wilmot complete,Currently backwatered by impassable beaver dam. Undersized,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1882 
124256,6800022.0,Harpers Creek,Horsefly Road,Stream crossing - CBS,No,MOTI,2.0,0.6900000000000001,Medium,400000.0,Commission engineering designs,Decent rearing habitat in Harpers Lake,Designs on hold while Vedder and Wilmot addressed,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=1883 
57158,6800596.0,Trib to McKinley Creek,R02156-887,Stream crossing - CBS,No,Forest tenure,2.0,0.36,High,150000.0,Rehabilitation,Industry barrier,Short habitat gain (wetland upstream). Poorly defined channel beyond wetland.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197835 
126471,,Trib to Woodjam Creek,unnamed,Stream crossing - CBS,Yes,FLNRO,1.0,0.1,Medium,20000.0,Engage with barrier owner,Potentially easy fix,"Cattle trail, may be able to decommission or replace with small 3 m bridge. Discuss with barrier owner. Short habitat gain, parr able to pass at some flows, dewatering/ stranding potential.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=685 
57298,24708568.0,Trib to Bosk Lake,Black Creek-Cruiser Lake,Stream crossing - CBS,Yes,Forest tenure,1.0,0.08,Medium,250000.0,Rehabilitation,Industry barrier,Tolko aiming to replace with clearspan bridge summer 2024,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=197832 
